日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
2012/7/20,外資及陸資,37225,26697,44446,29070,-7221,-2373,145709,49801,205440,52139,-59731,-2338
2012/7/23,自營商,183781,30068,210650,30805,-26869,-737,125900,13837,227431,13856,-101531,-19
2012/7/23,投信,153,176,238,300,-85,-124,4017,5272,1884,2423,2133,2849
2012/7/23,外資及陸資,50094,29730,74023,35586,-23929,-5856,148592,49237,230890,57456,-82298,-8218
2012/7/24,自營商,144289,16252,158035,17598,-13746,-1346,133791,12860,249059,14201,-115268,-1341
2012/7/24,投信,153,199,47,65,106,134,4106,5394,1867,2411,2239,2983
2012/7/24,外資及陸資,41740,23877,40173,24273,1567,-396,152099,48470,232632,57083,-80533,-8614
2012/7/25,自營商,238715,32663,221743,33556,16972,-893,150761,13959,248871,16113,-98110,-2154
2012/7/25,投信,223,296,132,178,91,118,4276,5595,1946,2507,2330,3089
2012/7/25,外資及陸資,71224,41302,70896,36073,328,5229,160552,50946,241058,54350,-80506,-3404
2012/7/26,自營商,168510,23572,176807,22709,-8297,863,155286,13871,261693,15159,-106407,-1287
2012/7/26,投信,58,72,69,81,-11,-9,4272,5616,1953,2523,2319,3093
2012/7/26,外資及陸資,56929,29790,55682,29599,1247,191,169240,53298,248826,56508,-79586,-3210
2012/7/27,自營商,242367,32758,229266,32811,13101,-53,173899,14166,267721,15538,-93822,-1372
2012/7/27,投信,285,399,70,77,215,322,4402,5923,1868,2439,2534,3483
2012/7/27,外資及陸資,72596,36951,53836,30794,18760,6157,179467,59592,242012,56610,-62545,2982
2012/7/30,自營商,186692,17934,171421,21215,15271,-3281,196398,12916,275057,17597,-78659,-4681
2012/7/30,投信,39,52,261,298,-222,-246,4413,5977,2079,2684,2334,3293
2012/7/30,外資及陸資,58525,33587,44944,26072,13581,7515,193691,67008,243366,56457,-49675,10551
2012/7/31,自營商,284314,33999,302394,35156,-18080,-1157,215764,13906,312503,19784,-96739,-5878
2012/7/31,投信,263,372,512,192,-249,180,4519,6191,2430,2677,2089,3515
2012/7/31,外資及陸資,79941,38640,77122,37090,2819,1550,203471,67408,251497,55119,-48026,12289
2012/8/1,自營商,225791,25529,223187,24848,2604,681,240632,16036,334779,21262,-94147,-5226
2012/8/1,投信,41,58,219,41,-178,17,4548,6266,2637,2716,1911,3550
2012/8/1,外資及陸資,73252,35894,56810,29451,16442,6443,221235,73504,253586,54644,-32351,18859
2012/8/3,自營商,192133,21496,216827,20291,-24694,1205,233009,14102,351847,18079,-118838,-3977
2012/8/3,投信,118,78,36,36,82,42,4624,6249,2631,2684,1993,3566
2012/8/3,外資及陸資,57151,27451,57977,31524,-826,-4073,226316,70140,258455,55534,-32139,14605
2012/8/6,自營商,304751,29018,313606,29869,-8855,-851,239761,14986,367421,19892,-127660,-4906
2012/8/6,投信,298,429,92,118,206,311,4705,6462,2506,2539,2199,3923
2012/8/6,外資及陸資,76144,29407,77603,38426,-1459,-9019,238840,63784,271655,57908,-32815,5877
2012/8/7,自營商,188042,19337,184252,19784,3790,-447,242095,15255,365947,20605,-123852,-5350
2012/8/7,投信,133,186,169,229,-36,-43,4763,6539,2600,2658,2163,3881
2012/8/7,外資及陸資,47060,23491,39791,22107,7269,1384,247378,64769,272890,57511,-25512,7258
2012/8/8,自營商,347486,32890,318957,35919,28529,-3029,276523,16530,372077,24886,-95554,-8356
2012/8/8,投信,310,287,93,47,217,240,4958,6804,2578,2650,2380,4155
2012/8/8,外資及陸資,98756,54633,69068,40453,29688,14180,276336,72070,272781,50508,3555,21562
2012/8/9,自營商,522731,46859,466632,46170,56099,689,334411,23255,373893,31018,-39482,-7763
2012/8/9,投信,1231,986,882,1159,349,-173,4631,6578,1902,2518,2729,4060
2012/8/9,外資及陸資,120907,67165,113726,59328,7181,7837,290015,70319,280635,40246,9380,30072
2012/8/10,自營商,260677,21842,241379,21342,19298,500,345156,22877,366732,30099,-21576,-7223
2012/8/10,投信,229,325,161,213,68,112,4694,6677,1897,2502,2797,4175
2012/8/10,外資及陸資,60459,32044,60509,33068,-50,-1024,293610,70619,284364,41538,9246,29080
2012/8/13,自營商,233595,25354,235744,23690,-2149,1664,371713,26599,395516,32155,-23803,-5556
2012/8/13,投信,1038,1508,1050,1530,-12,-22,4674,6653,1889,2495,2785,4158
2012/8/13,外資及陸資,62657,45016,62403,45662,254,-646,303586,74296,294077,45775,9509,28521
2012/8/14,自營商,438860,54281,449280,51906,-10420,2375,380990,29694,414772,32888,-33782,-3194
2012/8/14,投信,2466,3540,2074,2953,392,587,4845,6944,1672,2179,3173,4764
2012/8/14,外資及陸資,114827,73972,112472,81729,2355,-7757,315577,70149,302045,49142,13532,21007
2012/8/15,自營商,242726,31748,264490,34012,-21764,-2264,86606,6591,177735,13961,-91129,-7370
2012/8/15,投信,2277,3178,2054,2718,223,460,4724,6705,1325,1685,3399,5020
2012/8/15,外資及陸資,55633,30533,55077,33668,556,-3135,183382,44556,173776,28337,9606,16219
2012/8/16,自營商,186376,31050,186515,28039,-139,3011,117151,9854,208440,14259,-91289,-4405
2012/8/16,投信,8,9,55,82,-47,-73,4706,6733,1354,1744,3352,4989
2012/8/16,外資及陸資,63415,29120,59646,28697,3769,423,197798,47171,184816,30343,12982,16829
